조사년도,학제명,시도명,층화학교ID,70%추출,학제유형명,휴직여자수석교사수,보직교사수,여자보직교사수,휴직보직교사수,휴직여자보직교사수,교사수,여자교사수,휴직교사수,휴직여자교사수,전문상담교사수,여자전문상담교사수,휴직전문상담교사수,휴직여자전문상담교사수,사서교사수,휴직수석교사수,여자수석교사수,수석교사수,휴직여자교감수,휴직교감수,여자교감수,교감수,휴직여자교장수,휴직교장수,여자교장수,교장수,유초중등교원_여자교원수,유초중등교원_교원수,여자사서교사수,휴직사서교사수,여자시간강사수,시간강사수,여자기간제교사수,기간제교사수,휴직여자영양교사수,휴직영양교사수,여자영양교사수,영양교사수,휴직여자보건교사수,휴직보건교사수,여자보건교사수,보건교사수,휴직여자실기교사수,휴직실기교사수,여자실기교사수,실기교사수,휴직여자사서교사수
2021,일반중학교,경기,1173273603,Y,중학교,0,0,0,0,0,27,22,3,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,25,31,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,일반중학교,경기,1175401967,Y,중학교,0,0,0,0,0,36,20,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,23,41,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1178310522,Y,초등학교,0,0,0,0,0,24,17,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,20,28,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2021,초등학교,경기,1181140509,Y,초등학교,0,0,0,0,0,35,19,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,23,40,0,0,0,0,0,0,1,1,2,2,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1183421252,Y,유치원,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1183456736,Y,유치원,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,초등학교,경기,1185641241,Y,초등학교,0,0,0,0,0,40,32,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,35,44,0,0,2,2,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2021,유치원,경기,1188537731,Y,유치원,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1192356141,Y,유치원,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,유치원,경기,1201441207,Y,유치원,0,0,0,0,0,27,25,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,28,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
