"공시년도","학교급명","시도교육청명","층화학교ID","70%추출","공시학년명","성별명","5등급학생수","4등급학생수","3등급학생수","2등급학생수","1등급학생수"
"2021",중학교,경기도교육청,"6665025610",Y,"1학년",여자,0,3,12,5,0
"2021",중학교,경기도교육청,"6676113275",Y,"1학년",여자,0,0,3,3,0
"2021",중학교,경기도교육청,"7028914461",Y,"1학년",여자,5,62,74,3,0
"2021",중학교,경기도교육청,"7055487690",Y,"1학년",여자,2,8,40,29,3
"2021",중학교,경기도교육청,"7251831606",Y,"1학년",여자,1,10,54,37,3
"2021",중학교,경기도교육청,"7459667790",Y,"1학년",여자,7,27,46,35,3
"2021",중학교,경기도교육청,"7540316532",Y,"1학년",여자,11,73,26,0,0
"2021",중학교,경기도교육청,"7715374998",Y,"1학년",여자,8,43,73,46,7
"2021",중학교,경기도교육청,"7994812702",Y,"1학년",여자,11,75,48,7,0
"2021",중학교,경기도교육청,"8059633005",Y,"1학년",여자,1,9,18,6,0
"2021",중학교,경기도교육청,"8246114063",Y,"1학년",여자,0,3,8,4,0
"2021",중학교,경기도교육청,"8498379659",Y,"1학년",여자,0,0,2,3,1
"2021",중학교,경기도교육청,"8678661678",Y,"1학년",여자,1,23,78,79,4
"2021",중학교,경기도교육청,"9622312563",Y,"1학년",여자,0,15,65,33,0
"2021",고등학교,경기도교육청,"1386060250",Y,"2학년",남자,2,28,98,12,0
"2021",고등학교,경기도교육청,"1447264286",Y,"2학년",남자,0,13,51,22,1
"2021",고등학교,경기도교육청,"1684292737",Y,"2학년",남자,78,6,0,0,0
"2021",고등학교,경기도교육청,"2034912084",Y,"2학년",남자,16,58,73,5,0
"2021",고등학교,경기도교육청,"2159927196",Y,"2학년",남자,1,18,40,47,9
"2021",고등학교,경기도교육청,"2194297862",Y,"2학년",남자,14,40,28,2,0
"2021",고등학교,경기도교육청,"2437461732",Y,"2학년",남자,2,31,76,56,8
"2021",고등학교,경기도교육청,"2815116901",Y,"2학년",남자,5,8,3,4,0
"2021",고등학교,경기도교육청,"2889755149",Y,"2학년",남자,1,22,48,41,4
"2021",고등학교,경기도교육청,"2945363774",Y,"2학년",남자,9,52,69,31,8
"2021",고등학교,경기도교육청,"2993759698",Y,"2학년",남자,2,1,4,6,1
"2021",고등학교,경기도교육청,"3469195460",Y,"2학년",남자,3,14,14,13,0
"2021",고등학교,경기도교육청,"3605182316",Y,"2학년",남자,4,28,73,12,0
"2021",고등학교,경기도교육청,"3756586459",Y,"2학년",남자,0,12,29,50,17
"2021",고등학교,경기도교육청,"3934172318",Y,"2학년",남자,4,41,57,29,0
"2021",고등학교,경기도교육청,"4035008663",Y,"2학년",남자,3,13,22,24,2
"2021",고등학교,경기도교육청,"4116929898",Y,"2학년",남자,7,36,80,59,5
"2021",고등학교,경기도교육청,"4159280602",Y,"2학년",남자,0,11,36,22,3
"2021",고등학교,경기도교육청,"4249060518",Y,"2학년",남자,15,44,79,11,0
"2021",고등학교,경기도교육청,"4465048034",Y,"2학년",남자,7,65,76,42,3
"2021",고등학교,경기도교육청,"4597521727",Y,"2학년",남자,3,20,50,39,1
"2021",고등학교,경기도교육청,"4618095521",Y,"2학년",남자,7,43,67,31,2
"2021",고등학교,경기도교육청,"4632223601",Y,"2학년",남자,11,74,93,36,2
"2021",고등학교,경기도교육청,"4676020971",Y,"2학년",남자,74,31,29,23,8
"2021",고등학교,경기도교육청,"4775912874",Y,"2학년",남자,1,6,25,26,6
"2021",고등학교,경기도교육청,"5091799626",Y,"2학년",남자,5,31,57,39,0
"2021",고등학교,경기도교육청,"5214350287",Y,"2학년",남자,36,155,115,13,0
"2021",고등학교,경기도교육청,"5360434579",Y,"2학년",남자,14,60,71,37,0
"2021",고등학교,경기도교육청,"5411074773",Y,"2학년",남자,5,22,55,16,0
"2021",고등학교,경기도교육청,"5544649466",Y,"2학년",남자,9,54,50,20,1
"2021",고등학교,경기도교육청,"6056464928",Y,"2학년",남자,17,78,26,0,0
"2021",고등학교,경기도교육청,"6128609068",Y,"2학년",남자,5,40,57,19,1
"2021",고등학교,경기도교육청,"6212171136",Y,"2학년",남자,92,59,0,0,0
"2021",고등학교,경기도교육청,"6532984736",Y,"2학년",남자,3,40,99,66,2
"2021",고등학교,경기도교육청,"6680349411",Y,"2학년",남자,7,54,67,13,0
"2021",고등학교,경기도교육청,"6723471976",Y,"2학년",남자,8,48,51,26,2
"2021",고등학교,경기도교육청,"6922611595",Y,"2학년",남자,4,41,79,48,3
"2021",고등학교,경기도교육청,"7211546318",Y,"2학년",남자,6,42,77,57,14
"2021",고등학교,경기도교육청,"7508516029",Y,"2학년",남자,4,24,46,27,3
"2021",고등학교,경기도교육청,"7607482767",Y,"2학년",남자,38,69,26,3,0
"2021",고등학교,경기도교육청,"7634304023",Y,"2학년",남자,0,9,7,0,0
"2021",고등학교,경기도교육청,"7761854897",Y,"2학년",남자,1,9,31,25,0
"2021",고등학교,경기도교육청,"7779300407",Y,"2학년",남자,0,0,5,4,0
"2021",고등학교,경기도교육청,"8646557147",Y,"2학년",남자,2,28,38,9,1
"2021",고등학교,경기도교육청,"8737679278",Y,"2학년",남자,0,10,3,4,0
"2021",고등학교,경기도교육청,"8962855992",Y,"2학년",남자,2,25,28,26,9
"2021",고등학교,경기도교육청,"9053586242",Y,"2학년",남자,8,53,52,27,0
"2021",고등학교,경기도교육청,"9111230061",Y,"2학년",남자,22,46,30,4,0
"2021",고등학교,경기도교육청,"9297712856",Y,"2학년",남자,124,41,0,0,0
"2021",고등학교,경기도교육청,"9314898037",Y,"2학년",남자,22,66,67,9,0
"2021",고등학교,경기도교육청,"9503860356",Y,"2학년",남자,2,19,97,52,5
"2021",고등학교,경기도교육청,"9537681002",Y,"2학년",남자,1,32,79,49,10
"2021",고등학교,경기도교육청,"9590276243",Y,"2학년",남자,7,31,65,44,4
"2021",고등학교,경기도교육청,"9842406446",Y,"2학년",남자,0,1,7,7,1
"2021",고등학교,경기도교육청,"9876719467",Y,"2학년",남자,2,40,47,15,1
"2021",고등학교,경기도교육청,"9921957523",Y,"2학년",남자,10,61,45,14,1
"2021",중학교,경기도교육청,"1098030183",Y,"2학년",남자,4,22,45,29,4
"2021",중학교,경기도교육청,"1317623614",Y,"2학년",남자,1,4,6,12,6
"2021",중학교,경기도교육청,"1595854083",Y,"2학년",남자,0,6,18,31,13
"2021",중학교,경기도교육청,"1899780135",Y,"2학년",남자,0,8,29,36,11
"2021",중학교,경기도교육청,"1910702747",Y,"2학년",남자,3,12,31,18,1
"2021",중학교,경기도교육청,"2308953919",Y,"2학년",남자,1,2,2,0,0
"2021",중학교,경기도교육청,"2320417491",Y,"2학년",남자,0,29,56,30,8
"2021",중학교,경기도교육청,"2556050433",Y,"2학년",남자,2,19,61,40,3
"2021",중학교,경기도교육청,"2876135175",Y,"2학년",남자,0,5,31,39,11
"2021",중학교,경기도교육청,"3240607741",Y,"2학년",남자,0,1,4,3,2
"2021",중학교,경기도교육청,"3467102586",Y,"2학년",남자,4,23,46,21,4
"2021",중학교,경기도교육청,"3752773954",Y,"2학년",남자,0,4,8,11,0
"2021",중학교,경기도교육청,"3961405348",Y,"2학년",남자,8,13,41,26,3
"2021",중학교,경기도교육청,"4221743560",Y,"2학년",남자,2,7,11,8,1
"2021",중학교,경기도교육청,"4995968833",Y,"2학년",남자,0,2,2,3,0
"2021",중학교,경기도교육청,"5022338801",Y,"2학년",남자,1,3,3,3,0
"2021",중학교,경기도교육청,"5149309922",Y,"2학년",남자,79,7,0,0,0
"2021",중학교,경기도교육청,"5168753304",Y,"2학년",남자,4,11,38,43,7
"2021",중학교,경기도교육청,"5566472023",Y,"2학년",남자,1,15,36,28,6
"2021",중학교,경기도교육청,"5595312046",Y,"2학년",남자,1,3,4,1,0
"2021",중학교,경기도교육청,"5679455168",Y,"2학년",남자,3,9,14,7,0
"2021",중학교,경기도교육청,"5993599851",Y,"2학년",남자,1,4,26,21,2
"2021",중학교,경기도교육청,"6163690235",Y,"2학년",남자,1,6,22,22,5
"2021",중학교,경기도교육청,"6179697859",Y,"2학년",남자,0,2,1,7,0
"2021",중학교,경기도교육청,"6461573080",Y,"2학년",남자,2,2,1,4,2
"2021",중학교,경기도교육청,"6665025610",Y,"2학년",남자,3,7,18,5,1
"2021",중학교,경기도교육청,"7028914461",Y,"2학년",남자,3,34,67,19,0
"2021",중학교,경기도교육청,"7055487690",Y,"2학년",남자,1,16,39,37,4
"2021",중학교,경기도교육청,"7186293189",Y,"2학년",남자,2,38,69,37,3
"2021",중학교,경기도교육청,"7251831606",Y,"2학년",남자,1,10,34,34,6
"2021",중학교,경기도교육청,"7459667790",Y,"2학년",남자,2,3,28,24,12
"2021",중학교,경기도교육청,"7994812702",Y,"2학년",남자,16,43,57,28,3
"2021",중학교,경기도교육청,"8059633005",Y,"2학년",남자,2,10,21,9,1
"2021",중학교,경기도교육청,"8230715860",Y,"2학년",남자,4,25,75,29,1
"2021",중학교,경기도교육청,"8246114063",Y,"2학년",남자,0,5,10,3,0
"2021",중학교,경기도교육청,"8498379659",Y,"2학년",남자,0,0,0,1,0
"2021",중학교,경기도교육청,"8678661678",Y,"2학년",남자,5,35,61,64,6
"2021",중학교,경기도교육청,"9622312563",Y,"2학년",남자,4,36,57,27,5
"2021",고등학교,경기도교육청,"1386060250",Y,"2학년",여자,1,20,90,8,0
"2021",고등학교,경기도교육청,"1447264286",Y,"2학년",여자,1,16,48,17,1
"2021",고등학교,경기도교육청,"1684292737",Y,"2학년",여자,54,6,0,0,0
"2021",고등학교,경기도교육청,"2034912084",Y,"2학년",여자,2,36,71,30,0
"2021",고등학교,경기도교육청,"2159927196",Y,"2학년",여자,1,10,44,59,10
"2021",고등학교,경기도교육청,"2194297862",Y,"2학년",여자,1,26,40,8,0
"2021",고등학교,경기도교육청,"2437461732",Y,"2학년",여자,1,17,82,61,2
"2021",고등학교,경기도교육청,"2714320088",Y,"2학년",여자,0,16,28,30,2
"2021",고등학교,경기도교육청,"2815116901",Y,"2학년",여자,3,11,8,8,1
"2021",고등학교,경기도교육청,"2889755149",Y,"2학년",여자,0,13,58,27,0
"2021",고등학교,경기도교육청,"2945363774",Y,"2학년",여자,3,38,90,46,7
"2021",고등학교,경기도교육청,"2989394526",Y,"2학년",여자,3,39,107,89,20
"2021",고등학교,경기도교육청,"2993759698",Y,"2학년",여자,0,1,7,6,0
"2021",고등학교,경기도교육청,"3469195460",Y,"2학년",여자,3,8,13,11,0
"2021",고등학교,경기도교육청,"3605182316",Y,"2학년",여자,0,18,70,21,1
"2021",고등학교,경기도교육청,"3756586459",Y,"2학년",여자,3,27,60,86,30
